brand,model,submodel,year,gear,engine,color,mileage,price,dateRecorded,source,sourceType,sourceUrl,externalId,series_auto,trim_auto
TOYOTA,,,2019.0,ekiiyr``ot,,dam,125500.0,679000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2009.0,ekiiyrthrrmdaa,,ethaa,200000.0,219000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2019.0,ekiiyr``ot,,namtaal,164697.0,1990000.0,2025-11-26,taladrod,marketplace,,,,
HYUNDAI,,,2018.0,ekiiyr``ot,,dam,121052.0,899000.0,2025-11-26,taladrod,marketplace,,,,
HONDA,,,2007.0,ekiiyr``ot,,ethaa,190000.0,169000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2014.0,ekiiyr``ot,,namtaal,130000.0,169000.0,2025-11-26,taladrod,marketplace,,,,
BENZ,,,2016.0,ekiiyr``ot,,khaaw,69000.0,1488000.0,2025-11-26,taladrod,marketplace,,,,
BENZ,,,2015.0,ekiiyr``ot,,ethaa,146000.0,548000.0,2025-11-26,taladrod,marketplace,,,,
HYUNDAI,,,2016.0,ekiiyr``ot,,khaaw,130000.0,299000.0,2025-11-26,taladrod,marketplace,,,,
VOLVO,,,2019.0,ekiiyr``ot,,khaaw,90000.0,1048000.0,2025-11-26,taladrod,marketplace,,,,
BENZ,,,2022.0,ekiiyr``ot,,dam,135000.0,2398000.0,2025-11-26,taladrod,marketplace,,,,
MAZDA,,,2020.0,ekiiyr``ot,,br`nchengin,19000.0,369000.0,2025-11-26,taladrod,marketplace,,,,
MAZDA,,,2017.0,ekiiyr``ot,,khaaw,22000.0,279000.0,2025-11-26,taladrod,marketplace,,,,
NISSAN,,,2013.0,ekiiyrthrrmdaa,,khaaw,150000.0,150000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2018.0,ekiiyr``ot,,dam,139616.0,618000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2022.0,ekiiyr``ot,,khaaw,21000.0,2550000.0,2025-11-26,taladrod,marketplace,,,,
BENZ,,,2020.0,ekiiyr``ot,,dam,81000.0,1278000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2020.0,ekiiyr``ot,,dam,80000.0,2090000.0,2025-11-26,taladrod,marketplace,,,,
MAZDA,,,2018.0,ekiiyr``ot,,dam,130529.0,428000.0,2025-11-26,taladrod,marketplace,,,,
FORD,,,2019.0,ekiiyr``ot,,ethaa,139000.0,759000.0,2025-11-26,taladrod,marketplace,,,,
ISUZU,,,2019.0,ekiiyr``ot,,khaaw,113000.0,699000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2018.0,ekiiyr``ot,,dam,130019.0,2139000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2017.0,ekiiyr``ot,,dam,100000.0,439000.0,2025-11-26,taladrod,marketplace,,,,
MG,,,2022.0,ekiiyr``ot,,khaaw,42000.0,399000.0,2025-11-26,taladrod,marketplace,,,,
SUBARU,,,2020.0,ekiiyr``ot,,khaaw,95517.0,589000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2020.0,ekiiyr``ot,,khaaw,54000.0,345000.0,2025-11-26,taladrod,marketplace,,,,
HYUNDAI,,,2021.0,ekiiyr``ot,,dam,100139.0,1158000.0,2025-11-26,taladrod,marketplace,,,,
MG,,,2021.0,ekiiyr``ot,,dam,42000.0,369000.0,2025-11-26,taladrod,marketplace,,,,
BMW,,,2020.0,ekiiyr``ot,,dam,81000.0,1290000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2014.0,ekiiyr``ot,,br`nchengin,204908.0,319000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2010.0,ekiiyr``ot,,ethaa,340000.0,98000.0,2025-11-26,taladrod,marketplace,,,,
HONDA,,,2014.0,ekiiyr``ot,,ethaa,102341.0,238000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2014.0,ekiiyr``ot,,ethaa,215673.0,279000.0,2025-11-26,taladrod,marketplace,,,,
MAZDA,,,2022.0,ekiiyr``ot,,ethaa,56767.0,634000.0,2025-11-26,taladrod,marketplace,,,,
BENZ,,,2015.0,ekiiyr``ot,,dam,110000.0,789000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2022.0,ekiiyr``ot,,dam,72000.0,395000.0,2025-11-26,taladrod,marketplace,,,,
NISSAN,,,2015.0,ekiiyr``ot,,aedng,40000.0,419000.0,2025-11-26,taladrod,marketplace,,,,
HINO,,,2020.0,ekiiyr``ot,,khaaw,79801.0,2190000.0,2025-11-26,taladrod,marketplace,,,,
HONDA,,,2019.0,ekiiyr``ot,,ethaa,127000.0,489000.0,2025-11-26,taladrod,marketplace,,,,
HYUNDAI,,,2020.0,ekiiyr``ot,,dam,96000.0,1090000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2019.0,ekiiyr``ot,,ethaa,173000.0,489000.0,2025-11-26,taladrod,marketplace,,,,
MINI,,,2018.0,ekiiyr``ot,,aedng,61000.0,899000.0,2025-11-26,taladrod,marketplace,,,,
HONDA,,,2019.0,ekiiyr``ot,,dam,104000.0,509000.0,2025-11-26,taladrod,marketplace,,,,
BMW,,,2012.0,ekiiyr``ot,,ethaa,135000.0,1190000.0,2025-11-26,taladrod,marketplace,,,,
BENZ,,,2019.0,ekiiyr``ot,,br`nchengin,103037.0,899000.0,2025-11-26,taladrod,marketplace,,,,
VOLVO,,,2017.0,ekiiyr``ot,,dam,100000.0,1250000.0,2025-11-26,taladrod,marketplace,,,,
BENZ,,,2022.0,ekiiyr``ot,,khaaw,28500.0,3500000.0,2025-11-26,taladrod,marketplace,,,,
MINI,,,2022.0,ekiiyr``ot,,aedng,91529.0,1059000.0,2025-11-26,taladrod,marketplace,,,,
BENZ,,,1997.0,ekiiyr``ot,,br`nchengin,190000.0,188000.0,2025-11-26,taladrod,marketplace,,,,
BENZ,,,2014.0,ekiiyr``ot,,dam,107944.0,549000.0,2025-11-26,taladrod,marketplace,,,,
ISUZU,,,2021.0,ekiiyrthrrmdaa,,khaaw,100000.0,639000.0,2025-11-26,taladrod,marketplace,,,,
ISUZU,,,2020.0,ekiiyrthrrmdaa,,khaaw,150000.0,449000.0,2025-11-26,taladrod,marketplace,,,,
,,,,,,,,,2025-11-26,taladrod,marketplace,,,,
ISUZU,,,2021.0,ekiiyrthrrmdaa,,khaaw,130000.0,479000.0,2025-11-26,taladrod,marketplace,,,,
MITSUBISHI,,,2016.0,ekiiyr``ot,,ethaa,80224.0,549000.0,2025-11-26,taladrod,marketplace,,,,
BENTLEY,,,2022.0,ekiiyr``ot,,ethaa,30000.0,11890000.0,2025-11-26,taladrod,marketplace,,,,
LANDROVER,,,2005.0,ekiiyr``ot,,ekhiiyw,102100.0,399000.0,2025-11-26,taladrod,marketplace,,,,
VOLKSWAGEN,,,2014.0,ekiiyr``ot,,dam,124100.0,799000.0,2025-11-26,taladrod,marketplace,,,,
