brand,model,model_raw,year,price_thb,mileage_km,color,gear_type,location,lot_num,grade,engine,type,date,sold_amount,num_bids,num_hall_bids,num_internet_bids,min_bid,max_bid,source,channel,model_clean,series,trim,has_price,has_mileage,has_brand,has_model,has_year,ok_for_pricing,brand_norm,model_norm,model_raw_norm,series_auto,match_text,trim_auto,trim_guess
BMW,X5,,2021.0,2750000.0,60000.0,ขาว,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,X5,,,True,True,True,True,True,True,BMW,X5,,X5,X5 X5,,
TOYOTA,ALPHARD,,2022.0,2550000.0,50000.0,ดำ,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,ALPHARD,,,True,True,True,True,True,True,TOYOTA,ALPHARD,,ALPHARD,ALPHARD ALPHARD,,
BMW,SERIES 3,,2012.0,699000.0,147000.0,ขาว,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,SERIES 3,,,True,True,True,True,True,True,BMW,SERIES 3,,3 SERIES,SERIES 3 SERIES 3,,
MERCEDES-BENZ,GLA-CLASS,,2019.0,859000.0,59000.0,ดำ,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,GLA-CLASS,,,True,True,True,True,True,True,BENZ,GLA-CLASS,,A-CLASS,GLA-CLASS GLA-CLASS,GLA-CLASS GLA-CLASS,Gla-Class Gla-Class
TOYOTA,ALPHARD,,2015.0,2590000.0,48000.0,ดำ,,,,,,,,,,,,,,taladrod,marketplace,ALPHARD,,,True,True,True,True,True,True,TOYOTA,ALPHARD,,ALPHARD,ALPHARD ALPHARD,,
TOYOTA,VELLFIRE,,2015.0,1290000.0,171126.0,ดำ,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,VELLFIRE,,,True,True,True,True,True,True,TOYOTA,VELLFIRE,,VELLFIRE,VELLFIRE VELLFIRE,,
NISSAN,X-TRAIL,,2017.0,399000.0,54000.0,เขียว,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,X-TRAIL,,,True,True,True,True,True,True,NISSAN,X-TRAIL,,X-TRAIL,X-TRAIL X-TRAIL,,
BMW,X7,,2024.0,5190000.0,13000.0,ขาว,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,X7,,,True,True,True,True,True,True,BMW,X7,,X7,X7 X7,,
TOYOTA,CAMRY,,2015.0,439000.0,190000.0,ดำ,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,CAMRY,,,True,True,True,True,True,True,TOYOTA,CAMRY,,CAMRY,CAMRY CAMRY,,
TOYOTA,HILUX REVO,,2020.0,379000.0,130000.0,บรอนซ์เงิน,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,HILUX REVO,,,True,True,True,True,True,True,TOYOTA,HILUX REVO,,HILUX REVO,HILUX REVO HILUX REVO,,
