Make, Model, Sub model, year, tranmission, Buyout price, Previous Bid, Current Bid
TOYOTA,CAMRY,CAMRY 2.5 Hybrid Premium (MY18),2021,-,1809000,751000,806500
TOYOTA,CAMRY,CAMRY 2.5 Sport (MY21),2021,-,1475000,674500,727500
TOYOTA,CAMRY,CAMRY 2.0 G (MY18),2020,-,1455000,519500,571500
TOYOTA,CAMRY,CAMRY 2.5 G (MY18),2020,-,1599000,602000,655500
TOYOTA,CAMRY,CAMRY 2.5 Hybrid (MY18),2020,AT,1649000,670000,678000
TOYOTA,CAMRY,CAMRY 2.5 Hybrid Premium (MY18),2020,-,1809000,695500,748000
TOYOTA,CAMRY,CAMRY 2.0 G (MY18),2019,AT,1455000,492000,543500
TOYOTA,CAMRY,CAMRY 2.5 G (MY18),2019,AT,1599000,579500,632500
TOYOTA,CAMRY,CAMRY 2.5 Hybrid (MY18),2019,AT,1649000,472000,632500
TOYOTA,CAMRY,CAMRY 2.5 Hybrid Premium (MY18),2019,AT,1809000,770000,687000
TOYOTA,CAMRY,CAMRY 2.0 G (MY18),2018,AT,1399000,379000,421000
TOYOTA,CAMRY,CAMRY 2.0 G Extremo (MY16) (MNC),2018,-,1525000,418000,464000
TOYOTA,CAMRY,CAMRY 2.5 G (MY18),2018,AT,1599000,444000,493000
TOYOTA,CAMRY,CAMRY 2.5 Hybrid Navigator (MY16) (MNC),2018,-,1659000,460500,511000
TOYOTA,CAMRY,CAMRY 2.5 Hybrid Premium (MY18),2018,AT,1849000,504000,540500
TOYOTA,CAMRY,CAMRY 2.0 G (MY16),2017,AT,1399000,340500,378500
TOYOTA,CAMRY,CAMRY 2.0 G Extremo (MY16),2017,AT,1525000,363000,403000
TOYOTA,CAMRY,CAMRY 2.5 ESport (MY16),2017,-,1639000,389500,433000
TOYOTA,CAMRY,CAMRY 2.5 G (MY16),2017,AT,1599000,390000,425500
TOYOTA,CAMRY,CAMRY 2.5 Hybrid Premium (MY16),2017,AT,1849000,393000,468000
TOYOTA,CAMRY,CAMRY 2.0 G (MY16),2016,AT,1374000,277000,309500
TOYOTA,CAMRY,CAMRY 2.0 G Extremo (MY16),2016,-,1484000,358000,397500
TOYOTA,CAMRY,CAMRY 2.5 Hybrid (MY15),2016,-,1679000,333000,370000
TOYOTA,CAMRY,CAMRY 2.5 Hybrid Navigator (MY16),2016,-,1729000,347500,386000
TOYOTA,CAMRY,CAMRY 2.5 Hybrid Premium (MY16),2016,-,1899000,350000,388500
TOYOTA,CAMRY,CAMRY 2.0 G (MY15),2015,AT,1279000,319000,286500
TOYOTA,CAMRY,CAMRY 2.0 G Extremo (MY15),2015,AT,1359000,384000,312500
TOYOTA,CAMRY,CAMRY 2.5 G (MY15),2015,-,1509000,342000,380000
TOYOTA,CAMRY,CAMRY 2.5 Hybrid (MY15),2015,AT,1659000,368000,340000
TOYOTA,CAMRY,CAMRY 2.5 Hybrid Navi (MY15),2015,-,1879000,337500,375000
TOYOTA,CAMRY,CAMRY 2.0 G (MY12),2014,AT,1299000,183500,249500
TOYOTA,CAMRY,CAMRY 2.0 G Extremo (MY12),2014,AT,1359000,229000,264500
TOYOTA,CAMRY,CAMRY 2.5 G (MY12),2014,-,1509000,258500,287500
TOYOTA,CAMRY,CAMRY 2.5 Hybrid (DVD/Navigator) (MY12),2014,-,1879000,289500,321500
TOYOTA,CAMRY,CAMRY 2.5 Hybrid (MY12),2014,-,1659000,245000,272000
TOYOTA,CAMRY,CAMRY 2.0 G (MY12),2013,AT,1299000,222000,229500
